"Aruba"	"ABW"	"Foreign direct investment net (BoP current US$)"	"BN.KLT.DINV.CD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"198934471.1"	"-233138804.5"	"510558659.2"	"-16089385.47"	"12122905.03"	"-184022346.4"	"-485027933"	"328826815.6"	"-163631284.9"	""
"Andorra"	"AND"	"Foreign direct investment net (BoP current US$)"	"BN.KLT.DINV.CD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Afghanistan"	"AFG"	"Foreign direct investment net (BoP current US$)"	"BN.KLT.DINV.CD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"-87276201"	"-213670260"	"-75649209"	"-91227567"	"-94013759"	"-59602266"	""
"Angola"	"AGO"	"Foreign direct investment net (BoP current US$)"	"BN.KLT.DINV.CD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1523198987"	"228299945.9"	"1805123607"	"890672963.9"	"-2198545055"	"4567640566"	"5116413414"	"9638709259"	"13164177546"	""
"Albania"	"ALB"	"Foreign direct investment net (BoP current US$)"	"BN.KLT.DINV.CD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"-258417488.7"	"-314638316.8"	"-647365283.8"	"-874269998.9"	"-951522038.6"	"-1043377670"	"-847551617.6"	"-835678925.8"	"-1225632063"	""
"Arab World"	"ARB"	"Foreign direct investment net (BoP current US$)"	"BN.KLT.DINV.CD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"United Arab Emirates"	"ARE"	"Foreign direct investment net (BoP current US$)"	"BN.KLT.DINV.CD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Argentina"	"ARG"	"Foreign direct investment net (BoP current US$)"	"BN.KLT.DINV.CD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"-3954190000"	"-3098630000"	"-4968920000"	"-8334630000"	"-3305612521"	"-6880957946"	"-9231930945"	"-13889205326"	"-10256174423"	""
"Armenia"	"ARM"	"Foreign direct investment net (BoP current US$)"	"BN.KLT.DINV.CD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"-287177717.9"	"-444595432.3"	"-653884497"	"-925045079.7"	"-709641619.6"	"-521376646.9"	"-437333958.8"	"-472973958.3"	"-351543562.8"	""
"American Samoa"	"ASM"	"Foreign direct investment net (BoP current US$)"	"BN.KLT.DINV.CD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
