"Aruba"	"ABW"	"Goods exports (BoP current US$)"	"BX.GSR.MRCH.CD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"4416215839"	"4717024446"	"5206592179"	"5456592179"	"1951843575"	"264525139.7"	"5180167598"	"1388882682"	"278547486"	""
"Andorra"	"AND"	"Goods exports (BoP current US$)"	"BX.GSR.MRCH.CD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Afghanistan"	"AFG"	"Goods exports (BoP current US$)"	"BX.GSR.MRCH.CD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"563187587.5"	"406220602.8"	"453400791.4"	"430713373.8"	"619880622.8"	"620866170.1"	""
"Angola"	"AGO"	"Goods exports (BoP current US$)"	"BX.GSR.MRCH.CD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"24109411611"	"31862236056"	"44396193769"	"63913941114"	"40827945316"	"50594853215"	"67310283732"	"71093269880"	"68246518071"	""
"Albania"	"ALB"	"Goods exports (BoP current US$)"	"BX.GSR.MRCH.CD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"194117835.6"	"223619399.4"	"359838412"	"546110870"	"403649370.1"	"736926296.2"	"962077699.9"	"1124326466"	"1411323473"	""
"Arab World"	"ARB"	"Goods exports (BoP current US$)"	"BX.GSR.MRCH.CD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"558374972656.416"	"668027773187.728"	"764953691971.061"	"1039883353510.03"	"660748419501.42"	"839739699778.024"	"1099257949835.38"	"1233170085267.83"	"1200031298528.12"	""
"United Arab Emirates"	"ARE"	"Goods exports (BoP current US$)"	"BX.GSR.MRCH.CD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Argentina"	"ARG"	"Goods exports (BoP current US$)"	"BX.GSR.MRCH.CD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"40434150000"	"46593800000"	"56032420000"	"70148570000"	"55790821963"	"68154138894"	"83995551437"	"80246422915"	"81603256992"	""
"Armenia"	"ARM"	"Goods exports (BoP current US$)"	"BX.GSR.MRCH.CD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1028698417"	"1052970724"	"1204225219"	"1106287496"	"773615111"	"1197479193"	"1431559506"	"1515701955"	"1635856170"	""
"American Samoa"	"ASM"	"Goods exports (BoP current US$)"	"BX.GSR.MRCH.CD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
