"Aruba"	"ABW"	"Electricity production (kWh)"	"EG.ELC.PROD.KH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Andorra"	"AND"	"Electricity production (kWh)"	"EG.ELC.PROD.KH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Afghanistan"	"AFG"	"Electricity production (kWh)"	"EG.ELC.PROD.KH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Angola"	"AGO"	"Electricity production (kWh)"	"EG.ELC.PROD.KH"	""	""	""	""	""	""	""	""	""	""	""	"742000000"	"838000000"	"984000000"	"1229000000"	"1305000000"	"585000000"	"585000000"	"585000000"	"630000000"	"675000000"	"675000000"	"720000000"	"783000000"	"670000000"	"806000000"	"806000000"	"810000000"	"815000000"	"819000000"	"841000000"	"934000000"	"947000000"	"950000000"	"955000000"	"960000000"	"1028000000"	"1146000000"	"1318000000"	"1335000000"	"1445000000"	"1638000000"	"1765000000"	"1995000000"	"2232000000"	"2786000000"	"3306000000"	"3217000000"	"4156000000"	"4735000000"	"5449000000"	"5651000000"	""	""	""
"Albania"	"ALB"	"Electricity production (kWh)"	"EG.ELC.PROD.KH"	""	""	""	""	""	""	""	""	""	""	""	"1225000000"	"1450000000"	"1702000000"	"1900000000"	"2225000000"	"2550000000"	"2875000000"	"3100000000"	"3425000000"	"3715000000"	"3750000000"	"3765000000"	"3780000000"	"3717000000"	"3147000000"	"5106000000"	"4395000000"	"3984000000"	"4123000000"	"3198000000"	"3752000000"	"3357000000"	"3482000000"	"3904000000"	"4414000000"	"5926000000"	"5184000000"	"5068000000"	"5397000000"	"4738000000"	"3692000000"	"3686000000"	"4992000000"	"5606000000"	"5443000000"	"5524000000"	"2860000000"	"3797000000"	"5207000000"	"7580000000"	"4159000000"	""	""	""
"Arab World"	"ARB"	"Electricity production (kWh)"	"EG.ELC.PROD.KH"	""	""	""	""	""	""	""	""	""	""	""	"26312633813.127"	"29040686024.2767"	"32563032386.4344"	"36981608997.76"	"42445787566.4482"	"50940798835.8698"	"59501412544.7012"	"70371232120.758"	"87845703442.9352"	"101121618642.884"	"115561220191.134"	"134155979324.771"	"149172882339.826"	"166534315612.559"	"182231465460.88"	"194889708462.078"	"212653839785.957"	"228449897927.541"	"238091437984.187"	"247736005845.728"	"247684533162.499"	"275229483568.232"	"298595053949.41"	"316786105763.602"	"331117715603.9"	"349029200099.376"	"369544596805.273"	"399543078444.933"	"422197114675.59"	"449872260691.844"	"477615027684.104"	"508205949815.05"	"535216997290.817"	"568066661874.057"	"615361983615.339"	"653983653598.344"	"696523303116.563"	"752524573201.676"	"797366363709.03"	"871478953412.745"	"898918939915.422"	""	""	""
"United Arab Emirates"	"ARE"	"Electricity production (kWh)"	"EG.ELC.PROD.KH"	""	""	""	""	""	""	""	""	""	""	""	"203000000"	"467000000"	"720000000"	"942000000"	"1368000000"	"1941000000"	"2955000000"	"3764000000"	"4991000000"	"6306000000"	"7216000000"	"8915000000"	"10141000000"	"11000000000"	"12000000000"	"12814000000"	"13657000000"	"14840000000"	"15612000000"	"17080000000"	"17351000000"	"18689000000"	"21730000000"	"23736000000"	"24982000000"	"26572000000"	"28400000000"	"33392000000"	"37126000000"	"39944000000"	"43172000000"	"46856000000"	"49450000000"	"52417000000"	"60698000000"	"66768000000"	"76106000000"	"86260000000"	"90573000000"	"97728000000"	"99137000000"	""	""	""
"Argentina"	"ARG"	"Electricity production (kWh)"	"EG.ELC.PROD.KH"	""	""	""	""	""	""	""	""	""	""	""	"23624000000"	"25306000000"	"26661000000"	"27950000000"	"29343000000"	"30216000000"	"32413000000"	"33434000000"	"37641000000"	"39706000000"	"38839000000"	"39886000000"	"43003000000"	"44966000000"	"45265000000"	"49003000000"	"52039000000"	"52246000000"	"50511000000"	"50740000000"	"53623000000"	"55881000000"	"61576000000"	"62808000000"	"67015000000"	"69686000000"	"72296000000"	"74013000000"	"80468000000"	"88910000000"	"90115000000"	"84454000000"	"92028000000"	"100163000000"	"105491000000"	"96391000000"	"102451000000"	"121604000000"	"121919000000"	"125263000000"	"129555000000"	""	""	""
"Armenia"	"ARM"	"Electricity production (kWh)"	"EG.ELC.PROD.KH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"10362000000"	"9516000000"	"9004000000"	"6295000000"	"5658000000"	"5561000000"	"6214000000"	"6029000000"	"6191000000"	"5717000000"	"5958000000"	"5745000000"	"5519000000"	"5501000000"	"6030000000"	"6317000000"	"5941000000"	"5898000000"	"5770000000"	"5671000000"	"6491000000"	"7433000000"	""	""	""
"American Samoa"	"ASM"	"Electricity production (kWh)"	"EG.ELC.PROD.KH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
