"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Aruba","ABW","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4.2","4.2","","",
"Andorra","AND","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","","",
"Afghanistan","AFG","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13500","13500","13500","13500","13500","13500","13500","13500","13500","13500","13500","13500","13500","13500","13500","13500","13500","13500","13500","13500","13500","13500","","",
"Angola","AGO","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","609760","608512","607264","606016","604768","603520","602272","601024","599776","598528","597280","596032","594784","593536","592288","591040","589792","588544","587296","586048","584800","583552","","",
"Albania","ALB","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7890","7870","7850","7830","7810","7790","7770","7750","7730","7710","7690","7716","7742","7768","7794","7820","7808.6","7797.2","7785.8","7774.4","7763","7751.6","","",
"Arab World","ARB","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","959062.8","952531.8","946002.8","939472.8","932942.8","926413.8","919882.8","913352.8","906823.8","900293.8","893764.8","892669","891573.2","890478.3","889382.5","888288.7","887179.1","886069.1","884960.7","883851.5","882742.5","733437.5","","",
"United Arab Emirates","ARE","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2450","2515","2580","2645","2710","2775","2840","2905","2970","3035","3100","3104","3108","3112","3116","3120","3131","3141","3152","3162.4","3173","3183.6","","",
"Argentina","ARG","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","347930","344998","342066","339134","336202","333270","330338","327406","324474","321542","318610","316086","313562","311038","308514","305990","303592","301194","298796","296398","294000","291602","","",
"Armenia","ARM","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3470","","3384","3341","3298","3255","3212","3169","3126","3083","3040","2998","2956","2914","2872","2830","2788","2746","2704","2662","2620","2578","","",
"American Samoa","ASM","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","183.9","183.5","183.2","182.9","182.5","182.2","181.9","181.5","181.2","180.8","180.5","180.2","179.8","179.5","179.1","178.8","178.5","178.1","177.8","177.5","177.1","176.8","","",
"Antigua and Barbuda","ATG","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","103","102.7","102.4","102.1","101.8","101.5","101.2","100.9","100.6","100.3","100","99.6","99.2","98.8","98.4","98","98","98","98","98","98","98","","",
"Australia","AUS","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1545000","1545420","1545840","1546260","1546680","1547100","1547520","1547940","1548360","1548780","1549200","1547200","1545200","1543200","1541200","1539200","1529960","1520720","1511480","1502240","1493000","1483760","","",
"Austria","AUT","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37760","37822","37884","37946","38008","38070","38132","38194","38256","38318","38380","38428","38476","38524","38572","38620","38670","38720","38770","38820","38870","38920","","",
"Azerbaijan","AZE","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9360","","9360","9360","9360","9360","9360","9360","9360","9360","9360","9360","9360","9360","9360","9360","9360","9360","9360","9360","9360","9360","","",
"Burundi","BDI","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2890","2799","2708","2617","2526","2435","2344","2253","2162","2071","1980","1946","1912","1878","1844","1810","1792","1774","1756","1738","1720","1702","","",
"Belgium","BEL","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6770","","","","","","","","","","6673","6683.6","6694.2","6704.8","6715.4","6726","6736.4","6746.8","6757.2","6767.6","6778","6788.4","","",
"Benin","BEN","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57610","56910","56210","55510","54810","54110","53410","52710","52010","51310","50610","50110","49610","49110","48610","48110","47610","47110","46610","46110","45610","45110","","",
"Burkina Faso","BFA","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68470","67871","67272","66673","66074","65475","64876","64277","63678","63079","62480","61882","61284","60686","60088","59490","58890","58290","57690","57090","56490","55890","","",
"Bangladesh","BGD","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14940","14914","14888","14862","14836","14810","14784","14758","14732","14706","14680","14654","14628","14602","14576","14550","14524","14498","14472","14446","14420","14394","","",
"Bulgaria","BGR","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33270","33318","33366","33414","33462","33510","33558","33606","33654","33702","33750","34302","34854","35406","35958","36510","37062","37614","38166","38718","39270","39822","","",
"Bahrain","BHR","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","3","3","3","3","3","3","3","4","4","4","4","4","4","5","4.6","4.8","4.9","5.1","5.3","5.4","","",
"Bahamas, The","BHS","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5150","5150","5150","5150","5150","5150","5150","5150","5150","5150","5150","5150","5150","5150","5150","5150","5150","5150","5150","5150","5150","5150","","",
"Bosnia and Herzegovina","BIH","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22100","","22050","22025","22000","21975","21950","21925","21900","21875","21850","21850","21850","21850","21850","21850","21850","21850","21850","21850","21850","21850","","",
"Belarus","BLR","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77800","","78786","79279","79772","80265","80758","81251","81744","82237","82730","83056","83382","83708","84034","84360","84748","85136","85524","85912","86300","86688","","",
"Belize","BLZ","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15860","15763","15666","15569","15472","15375","15278","15181","15084","14987","14890","14794","14698","14602","14506","14410","14314","14218","14122","14026","13930","13834","","",
"Bermuda","BMU","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","","",
"Bolivia","BOL","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","627950","625246","622542","619838","617134","614430","611726","609022","606318","603614","600910","598196","595482","592768","590054","587340","584264","581188","578112","575036","571960","568884","","",
"Brazil","BRA","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5748390","5719494","5690598","5661702","5632806","5603910","5575014","5546118","5517222","5488326","5459430","5428532","5397634","5366736","5335838","5304940","5282996","5261052","5239108","5217164","5195220","5173276","","",
"Barbados","BRB","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","","",
"Brunei Darussalam","BRN","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4130","4114","4098","4082","4066","4050","4034","4018","4002","3986","3970","3954","3938","3922","3906","3890","3872","3854","3836","3818","3800","3782","","",
