"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Aruba","ABW","Land area (sq. km)","AG.LND.TOTL.K2","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","","",
"Andorra","AND","Land area (sq. km)","AG.LND.TOTL.K2","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","","",
"Afghanistan","AFG","Land area (sq. km)","AG.LND.TOTL.K2","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","","",
"Angola","AGO","Land area (sq. km)","AG.LND.TOTL.K2","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","","",
"Albania","ALB","Land area (sq. km)","AG.LND.TOTL.K2","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","","",
"Arab World","ARB","Land area (sq. km)","AG.LND.TOTL.K2","13624031","13624031","13624031","13624031","13624031","13624031","13624031","13624031","13624031","13624031","13624031","13624031","13623991","13623991","13623991","13623991","13623991","13623991","13623991","13623991","13623991","13623991","13623991","13623991","13623991","13623991","13623991","13623991","13623991","13623991","13623991","13624011","13624011","13624011","13624011","13624011","13624011","13624011","13624011","13624011","13624011","13624011","13623831","13623821","13623831","13623891","13623911","13623921","13621411","13621401","13621401","","",
"United Arab Emirates","ARE","Land area (sq. km)","AG.LND.TOTL.K2","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","","",
"Argentina","ARG","Land area (sq. km)","AG.LND.TOTL.K2","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","","",
"Armenia","ARM","Land area (sq. km)","AG.LND.TOTL.K2","28480","28480","28480","28480","28480","28480","28480","28480","28480","28480","28480","28480","28480","28480","28480","28480","28480","28480","28480","28480","28480","28480","28480","28480","28480","28480","28480","28480","28480","28480","28480","28480","28480","28480","28480","28480","28480","28480","28480","28480","28480","28480","28480","28480","28480","28480","28480","28480","28480","28480","28480","","",
"American Samoa","ASM","Land area (sq. km)","AG.LND.TOTL.K2","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","","",
