"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Aruba","ABW","Interest arrears, public and publicly guaranteed (current US$)","DT.IXA.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Interest arrears, public and publicly guaranteed (current US$)","DT.IXA.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Interest arrears, public and publicly guaranteed (current US$)","DT.IXA.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18141000","20644900","17355200","20200700","66696800","209560500","218630200","",
"Angola","AGO","Interest arrears, public and publicly guaranteed (current US$)","DT.IXA.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73608000","203531000","382129000","609699000","890922000","1137672000","1232326000","493001000","546688000","784524000","888698000","874112000","1006099000","961386000","890998000","673102000","576756000","161160000","88629000","69640000","84531000","67608000","61668000","58320000","",
"Albania","ALB","Interest arrears, public and publicly guaranteed (current US$)","DT.IXA.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5285000","2847000","884000","1625000","1635000","1519000","3783000","3816000","3909000","3346000","3519000","1416000","1434000","1226000","1226000","1226000","1273000","146000","0","0","0","0","",
"Arab World","ARB","Interest arrears, public and publicly guaranteed (current US$)","DT.IXA.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Interest arrears, public and publicly guaranteed (current US$)","DT.IXA.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Interest arrears, public and publicly guaranteed (current US$)","DT.IXA.DPPG.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","835000","0","837437000","2074230000","778409000","485880000","352996000","2225219000","5641676000","7590662000","8627833000","9076285000","721000","909000","215000","198000","8000","4000","0","10319000","3922000","5154351000","11961295000","16464442000","7738305000","7456606000","9462405000","10008975000","10773700000","5463895000","6115063000","6312157000","",
"Armenia","ARM","Interest arrears, public and publicly guaranteed (current US$)","DT.IXA.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1067000","1140000","0","0","0","0","6149000","5652000","0","0","0","0","0","0","0","0","0","0","0","",
"American Samoa","ASM","Interest arrears, public and publicly guaranteed (current US$)","DT.IXA.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Interest arrears, public and publicly guaranteed (current US$)","DT.IXA.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Interest arrears, public and publicly guaranteed (current US$)","DT.IXA.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Interest arrears, public and publicly guaranteed (current US$)","DT.IXA.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Interest arrears, public and publicly guaranteed (current US$)","DT.IXA.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","3615000","6032000","2481000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Burundi","BDI","Interest arrears, public and publicly guaranteed (current US$)","DT.IXA.DPPG.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28000","587000","1067000","320000","855000","578000","2000","5000","461000","1079000","1021000","2019000","5172000","8607000","12375000","15421000","19670000","27385000","36340000","47558000","19560000","33059000","36617000","12800000","3988000","0","589000","123000","0","",
"Belgium","BEL","Interest arrears, public and publicly guaranteed (current US$)","DT.IXA.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Interest arrears, public and publicly guaranteed (current US$)","DT.IXA.DPPG.CD","","","","","","","","","","","0","0","2014000","2916000","4072000","5280000","4982000","5438000","6160000","5806000","5409000","4468000","1293000","13296000","26556000","46829000","62315000","86013000","91926000","27921000","20643000","16864000","9209000","12812000","7943000","8024000","8213000","8149000","8387000","8399000","1131000","1445000","1445000","6051000","1445000","1884000","1907000","4910000","4481000","32031000","25379000","27838000","46991000","",
"Burkina Faso","BFA","Interest arrears, public and publicly guaranteed (current US$)","DT.IXA.DPPG.CD","","","","","","","","","","","0","0","0","0","0","0","0","2000","7000","0","0","0","30000","512000","3973000","1758000","5743000","10412000","15906000","15114000","21020000","11765000","11870000","11811000","10801000","11769000","9743000","6848000","7314000","5544000","5272000","4922000","3918000","139000","96000","222000","63000","16000","43000","0","0","0","0","",
"Bangladesh","BGD","Interest arrears, public and publicly guaranteed (current US$)","DT.IXA.DPPG.CD","","","","","","","","","","","","","0","530000","46000","2025000","3212000","4046000","5402000","1150000","43000","44000","44000","45000","40000","53000","61000","133000","95000","662000","1291000","1173000","2493000","4778000","9536000","15147000","25000","0","0","0","0","20743000","27094000","0","0","16428000","0","3670000","1336000","1216000","2210000","2312000","2379000","",
"Bulgaria","BGR","Interest arrears, public and publicly guaranteed (current US$)","DT.IXA.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","225921000","763860000","1524008000","1814235000","109911000","73524000","115524000","179071000","178737000","33971000","893000","10385000","4112000","0","30716000","0","0","0","0","0","0","0","0","",
"Bahrain","BHR","Interest arrears, public and publicly guaranteed (current US$)","DT.IXA.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Interest arrears, public and publicly guaranteed (current US$)","DT.IXA.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Interest arrears, public and publicly guaranteed (current US$)","DT.IXA.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2332000","1171000","0","1691000","0","0","0","0","0","0","0","0","0","0","",
"Belarus","BLR","Interest arrears, public and publicly guaranteed (current US$)","DT.IXA.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6933000","14958000","18776000","9674000","3006000","6340000","8920000","13831000","4716000","910000","1821000","0","858000","4254000","2362000","1561000","3015000","4239000","4400000","3709000","",
"Belize","BLZ","Interest arrears, public and publicly guaranteed (current US$)","DT.IXA.DPPG.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","168000","404000","792000","1955000","263000","905000","766000","1031000","634000","889000","592000","825000","1935000","2217000","550000","609000","14000","0","0","0","0","900000","983000","1307000","6856000","7787000","7273000","7484000","9509000","6910000","7818000","18550000","",
"Bermuda","BMU","Interest arrears, public and publicly guaranteed (current US$)","DT.IXA.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Interest arrears, public and publicly guaranteed (current US$)","DT.IXA.DPPG.CD","","","","","","","","","","","0","0","383000","258000","258000","258000","258000","258000","329000","5773000","2504000","11824000","51384000","77347000","171987000","309052000","365279000","413256000","111826000","49920000","6302000","14776000","10758000","13799000","34105000","20283000","25703000","3478000","3055000","2587000","2436000","0","0","0","0","0","0","0","0","0","0","0","0","",
"Brazil","BRA","Interest arrears, public and publicly guaranteed (current US$)","DT.IXA.DPPG.CD","","","","","","","","","","","0","0","47000","55000","61000","1105000","2543000","9969000","9649000","8821000","13522000","31382000","32424000","58176000","69765000","111403000","143370000","3143072000","169506000","3187710000","8790144000","10516972000","4291112000","7919624000","2124465000","1545660000","1926701000","1354083000","1673548000","264687000","176340000","8000","8000","244000","24000","0","12000","96000","96000","94000","134000","231000","208000","",
"Barbados","BRB","Interest arrears, public and publicly guaranteed (current US$)","DT.IXA.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Interest arrears, public and publicly guaranteed (current US$)","DT.IXA.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Interest arrears, public and publicly guaranteed (current US$)","DT.IXA.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","263000","492000","591000","707000","704000","576000","0","0","0","0","0","0","0","0","0","4476000","0","0","0","0","0","0","0","",
"Botswana","BWA","Interest arrears, public and publicly guaranteed (current US$)","DT.IXA.DPPG.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","122000","0","0","0","0","0","0","112000","1057000","556000","459000","2578000","3434000","3104000","4558000","7828000","6214000","12000","0","0","0","0","0","0","0","0","0","0","0","2000","0","0","0","0","",
"Sub-Saharan Africa (IFC classification)","CAA","Interest arrears, public and publicly guaranteed (current US$)","DT.IXA.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central African Republic","CAF","Interest arrears, public and publicly guaranteed (current US$)","DT.IXA.DPPG.CD","","","","","","","","","","","0","0","536000","897000","1444000","2177000","4199000","6099000","7213000","8068000","10581000","5561000","7445000","4940000","1302000","1075000","1275000","6877000","12578000","16989000","15043000","18254000","28207000","39082000","25264000","35723000","38474000","44840000","44170000","23531000","26055000","25920000","46862000","92212000","90870000","97588000","90641000","72661000","73625000","77719000","77715000","71093000","73268000","",
"Canada","CAN","Interest arrears, public and publicly guaranteed (current US$)","DT.IXA.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia and the Pacific (IFC classification)","CEA","Interest arrears, public and publicly guaranteed (current US$)","DT.IXA.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe and Central Asia (IFC classification)","CEU","Interest arrears, public and publicly guaranteed (current US$)","DT.IXA.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Interest arrears, public and publicly guaranteed (current US$)","DT.IXA.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Channel Islands","CHI","Interest arrears, public and publicly guaranteed (current US$)","DT.IXA.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Interest arrears, public and publicly guaranteed (current US$)","DT.IXA.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"China","CHN","Interest arrears, public and publicly guaranteed (current US$)","DT.IXA.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Cote d'Ivoire","CIV","Interest arrears, public and publicly guaranteed (current US$)","DT.IXA.DPPG.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","6000","87000","323000","580000","898000","54344000","10691000","14234000","38933000","139927000","456217000","757579000","819393000","925971000","1042767000","1251089000","960732000","1019760000","952902000","87122000","8800000","7997000","78569000","356509000","267250000","359419000","688660000","848251000","1009536000","1454701000","1343906000","98430000","6958000","4509000","5229000","",
"Latin America and the Caribbean (IFC classification)","CLA","Interest arrears, public and publicly guaranteed (current US$)","DT.IXA.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Middle East and North Africa (IFC classification)","CME","Interest arrears, public and publicly guaranteed (current US$)","DT.IXA.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cameroon","CMR","Interest arrears, public and publicly guaranteed (current US$)","DT.IXA.DPPG.CD","","","","","","","","","","","0","0","12000","51000","1193000","653000","0","416000","145000","16687000","9248000","7807000","9122000","18067000","11538000","31343000","37903000","78081000","128213000","68210000","167818000","345453000","261127000","445296000","223422000","349429000","740448000","150656000","79019000","73413000","205107000","144560000","143195000","76578000","155318000","279818000","425040000","38626000","40914000","2539000","8899000","2278000","24267000","",
"Congo, Rep.","COG","Interest arrears, public and publicly guaranteed (current US$)","DT.IXA.DPPG.CD","","","","","","","","","","","0","0","1486000","3032000","3820000","4489000","6974000","11381000","11782000","4911000","3885000","2479000","1133000","5078000","15143000","16744000","39422000","114979000","214987000","340488000","176756000","312829000","480057000","622817000","240993000","412225000","252710000","341541000","494465000","573911000","655441000","713233000","868884000","1039802000","811077000","735661000","748875000","224555000","227244000","94746000","76000000","60776000","60271000","",
"Colombia","COL","Interest arrears, public and publicly guaranteed (current US$)","DT.IXA.DPPG.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","3000","0","1000","5094000","12000","1925000","1429000","2917000","28371000","19596000","11071000","15135000","10523000","1717000","47000","0","0","14000","14000","0","0","0","0","0","0","0","0","0","0","0","0","",
"Comoros","COM","Interest arrears, public and publicly guaranteed (current US$)","DT.IXA.DPPG.CD","","","","","","","","","","","0","0","0","0","0","0","31000","128000","357000","653000","2000","54000","109000","172000","248000","566000","2704000","5103000","8012000","9518000","12155000","12385000","11661000","12987000","9843000","5671000","6545000","7028000","7509000","7749000","11318000","15357000","16506000","18094000","21567000","21479000","22174000","7605000","5188000","4745000","4425000","4691000","4141000","",
"Cabo Verde","CPV","Interest arrears, public and publicly guaranteed (current US$)","DT.IXA.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","6000","12000","2000","0","23000","1580000","2046000","1695000","2434000","2252000","2311000","2006000","2958000","3779000","4558000","4889000","3956000","2569000","3516000","3908000","3605000","3123000","1784000","1046000","940000","721000","1287000","1442000","1502000","1500000","1500000","1500000","",
"Costa Rica","CRI","Interest arrears, public and publicly guaranteed (current US$)","DT.IXA.DPPG.CD","","","","","","","","","","","0","0","0","83000","0","0","0","27000","315000","11000","529000","85878000","231410000","23229000","77468000","16200000","83082000","225352000","285953000","392124000","85090000","78683000","39490000","46219000","54725000","46340000","43210000","38402000","37254000","27769000","27022000","26117000","22024000","22328000","2399000","1815000","2024000","496000","0","0","0","0","0","",
"South Asia (IFC classification)","CSA","Interest arrears, public and publicly guaranteed (current US$)","DT.IXA.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Caribbean small states","CSS","Interest arrears, public and publicly guaranteed (current US$)","DT.IXA.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Interest arrears, public and publicly guaranteed (current US$)","DT.IXA.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Interest arrears, public and publicly guaranteed (current US$)","DT.IXA.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Interest arrears, public and publicly guaranteed (current US$)","DT.IXA.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Interest arrears, public and publicly guaranteed (current US$)","DT.IXA.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Czech Republic","CZE","Interest arrears, public and publicly guaranteed (current US$)","DT.IXA.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Germany","DEU","Interest arrears, public and publicly guaranteed (current US$)","DT.IXA.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Djibouti","DJI","Interest arrears, public and publicly guaranteed (current US$)","DT.IXA.DPPG.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","327000","0","56000","0","0","1000","74000","160000","650000","1550000","2754000","3541000","4234000","4251000","6303000","6551000","6380000","7023000","6134000","8250000","9123000","8873000","10003000","5820000","721000","2255000","505000","640000","1298000","",
"Dominica","DMA","Interest arrears, public and publicly guaranteed (current US$)","DT.IXA.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","105000","200000","0","0","0","0","9000","2000","0","20000","49000","112000","9000","12000","264000","413000","1000","31000","33000","3000","13000","2843000","3820000","3149000","8567000","11003000","14042000","17048000","17942000","1480000","1480000","1480000","",
"Denmark","DNK","Interest arrears, public and publicly guaranteed (current US$)","DT.IXA.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominican Republic","DOM","Interest arrears, public and publicly guaranteed (current US$)","DT.IXA.DPPG.CD","","","","","","","","","","","0","0","1085000","557000","289000","616000","2052000","3264000","3113000","2282000","7186000","9695000","17894000","21521000","80075000","38794000","66066000","154580000","213386000","238783000","506207000","288005000","343060000","532616000","172768000","214471000","239997000","135176000","122348000","162241000","27781000","24119000","32039000","40467000","25465000","20132000","8397000","9045000","2804000","55000","0","0","0","",
"Algeria","DZA","Interest arrears, public and publicly guaranteed (current US$)","DT.IXA.DPPG.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","81000","17000","1365000","1879000","566000","3153000","37000","37000","37000","37000","0","0","33000","10000","11000","0","0","0","0","0","0","0","0","",
