"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Aruba","ABW","Interest rescheduled (capitalized) (current US$)","DT.IXR.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Interest rescheduled (capitalized) (current US$)","DT.IXR.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Interest rescheduled (capitalized) (current US$)","DT.IXR.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","",
"Angola","AGO","Interest rescheduled (capitalized) (current US$)","DT.IXR.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","119973000","42563000","0","0","0","44018000","70061000","234688000","45000","33916000","0","0","0","38000","118000","276881000","1000","494000","13818000","0","0","0","0","0","",
"Albania","ALB","Interest rescheduled (capitalized) (current US$)","DT.IXR.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","6000","1683000","0","445000","0","0","0","0","0","0","0","0","0","0","",
"Arab World","ARB","Interest rescheduled (capitalized) (current US$)","DT.IXR.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Interest rescheduled (capitalized) (current US$)","DT.IXR.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Interest rescheduled (capitalized) (current US$)","DT.IXR.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81741000","419976000","236700000","107447000","7493359000","3424000","50377000","0","0","0","0","0","0","0","0","0","0","0","64000","0","0","2542011000","0","0","",
"Armenia","ARM","Interest rescheduled (capitalized) (current US$)","DT.IXR.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"American Samoa","ASM","Interest rescheduled (capitalized) (current US$)","DT.IXR.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Interest rescheduled (capitalized) (current US$)","DT.IXR.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Interest rescheduled (capitalized) (current US$)","DT.IXR.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Interest rescheduled (capitalized) (current US$)","DT.IXR.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Interest rescheduled (capitalized) (current US$)","DT.IXR.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Burundi","BDI","Interest rescheduled (capitalized) (current US$)","DT.IXR.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19007000","0","606000","447000","0","2754000","0","0","0","",
"Belgium","BEL","Interest rescheduled (capitalized) (current US$)","DT.IXR.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Interest rescheduled (capitalized) (current US$)","DT.IXR.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15887000","863000","5965000","10012000","4125000","3913000","3234000","6157000","0","0","0","5852000","2627000","0","0","0","0","0","0","0","0","0","0","0","",
"Burkina Faso","BFA","Interest rescheduled (capitalized) (current US$)","DT.IXR.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","7571000","4749000","2313000","75000","0","0","0","0","0","604000","301000","0","0","0","0","0","0","0","0","0","0","0","",
"Bangladesh","BGD","Interest rescheduled (capitalized) (current US$)","DT.IXR.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Bulgaria","BGR","Interest rescheduled (capitalized) (current US$)","DT.IXR.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","43677000","51940000","982000","1678124000","9597000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4027000","",
"Bahrain","BHR","Interest rescheduled (capitalized) (current US$)","DT.IXR.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Interest rescheduled (capitalized) (current US$)","DT.IXR.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Interest rescheduled (capitalized) (current US$)","DT.IXR.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97182000","1000000","0","0","0","0","0","0","0","0","0","0","0","0","",
"Belarus","BLR","Interest rescheduled (capitalized) (current US$)","DT.IXR.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","4938000","0","0","0","0","0","0","0","0","0","0","0","",
"Belize","BLZ","Interest rescheduled (capitalized) (current US$)","DT.IXR.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Bermuda","BMU","Interest rescheduled (capitalized) (current US$)","DT.IXR.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Interest rescheduled (capitalized) (current US$)","DT.IXR.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51661000","62839000","53591000","54359000","39669000","0","46118000","4400000","0","0","306000","0","0","260000","0","0","0","0","0","0","0","0","0","0","",
"Brazil","BRA","Interest rescheduled (capitalized) (current US$)","DT.IXR.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","245313000","274207000","115192000","8355369000","490886000","7272760000","0","297465000","288315000","147769000","0","0","62660000","0","270000","0","0","0","9148000","0","0","0","0","0","",
"Barbados","BRB","Interest rescheduled (capitalized) (current US$)","DT.IXR.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Interest rescheduled (capitalized) (current US$)","DT.IXR.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Interest rescheduled (capitalized) (current US$)","DT.IXR.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","277000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Botswana","BWA","Interest rescheduled (capitalized) (current US$)","DT.IXR.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Sub-Saharan Africa (IFC classification)","CAA","Interest rescheduled (capitalized) (current US$)","DT.IXR.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central African Republic","CAF","Interest rescheduled (capitalized) (current US$)","DT.IXR.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","168000","323000","0","0","0","12951000","902000","0","0","2964000","7436000","612000","252000","0","0","0","0","0","6306000","1099000","298000","0","0","0","",
"Canada","CAN","Interest rescheduled (capitalized) (current US$)","DT.IXR.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia and the Pacific (IFC classification)","CEA","Interest rescheduled (capitalized) (current US$)","DT.IXR.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe and Central Asia (IFC classification)","CEU","Interest rescheduled (capitalized) (current US$)","DT.IXR.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Interest rescheduled (capitalized) (current US$)","DT.IXR.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Channel Islands","CHI","Interest rescheduled (capitalized) (current US$)","DT.IXR.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Interest rescheduled (capitalized) (current US$)","DT.IXR.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
